GEOID,NAME,variable,estimate,moe
53065,"Stevens County, Washington",edu_9th,251,100.08510638297872
53065,"Stevens County, Washington",edu_10th,504,160.85106382978722
53065,"Stevens County, Washington",edu_11th,576,150.12765957446808
53065,"Stevens County, Washington",edu_12th,539,202.5531914893617
53065,"Stevens County, Washington",edu_hs,9192,750.6382978723404
53065,"Stevens County, Washington",edu_ged,2227,363.40425531914894
53067,"Thurston County, Washington",pop,290642,NA
53067,"Thurston County, Washington",pop_white,225666,1932.5957446808509
53067,"Thurston County, Washington",pop_black,8532,965.1063829787233
53067,"Thurston County, Washington",pop_native,3202,573.1063829787233
53067,"Thurston County, Washington",pop_asian,16725,1016.3404255319149
